"","Country_clean","Taxonomic_group","Etiology","Genus_name","Organism_n","Total_N","prop"
"265","Senegal","Bacteria","Actinomycetoma","Actinomadura",53,306,0.173202614379085
"266","Senegal","Bacteria","Actinomycetoma","Nocardia",2,306,0.0065359477124183
"267","Senegal","Bacteria","Actinomycetoma","Streptomyces",5,306,0.0163398692810458
"268","Senegal","Fungus","Eumycetoma","Acremonium",1,306,0.00326797385620915
"269","Senegal","Fungus","Eumycetoma","Aspergillus",0,306,0
"270","Senegal","Fungus","Eumycetoma","Cladophialophora",0,306,0
"271","Senegal","Fungus","Eumycetoma","Cladosporium",0,306,0
"272","Senegal","Fungus","Eumycetoma","Exophiala",0,306,0
"273","Senegal","Fungus","Eumycetoma","Falcifomispora",16,306,0.0522875816993464
"274","Senegal","Fungus","Eumycetoma","Fusarium",2,306,0.0065359477124183
"275","Senegal","Fungus","Eumycetoma","Madurella",81,306,0.264705882352941
"276","Senegal","Fungus","Eumycetoma","Medicopsis",0,306,0
"277","Senegal","Fungus","Eumycetoma","Microsporum",2,306,0.0065359477124183
"278","Senegal","Fungus","Eumycetoma","Neoscytalidium",0,306,0
"279","Senegal","Fungus","Eumycetoma","Nigrograna",0,306,0
"280","Senegal","Fungus","Eumycetoma","Penicillium",1,306,0.00326797385620915
"281","Senegal","Fungus","Eumycetoma","Phaeoacremonium",0,306,0
"282","Senegal","Fungus","Eumycetoma","Sarocladium",0,306,0
"283","Senegal","Fungus","Eumycetoma","Scedosporium",5,306,0.0163398692810458
"284","Senegal","Fungus","Eumycetoma","Trematosphaeria",0,306,0
"285","Senegal","Fungus","Eumycetoma","Trichophyton",1,306,0.00326797385620915
"286","Senegal","Fungus","Eumycetoma","Xenoacremonium",0,306,0
"287","Sudan","Bacteria","Actinomycetoma","Actinomadura",652,16345,0.0398898745793821
"288","Sudan","Bacteria","Actinomycetoma","Nocardia",0,16345,0
"289","Sudan","Bacteria","Actinomycetoma","Streptomyces",1073,16345,0.0656469868461303
"290","Sudan","Fungus","Eumycetoma","Acremonium",0,16345,0
"291","Sudan","Fungus","Eumycetoma","Aspergillus",0,16345,0
"292","Sudan","Fungus","Eumycetoma","Cladophialophora",0,16345,0
"293","Sudan","Fungus","Eumycetoma","Cladosporium",0,16345,0
"294","Sudan","Fungus","Eumycetoma","Exophiala",0,16345,0
"295","Sudan","Fungus","Eumycetoma","Falcifomispora",0,16345,0
"296","Sudan","Fungus","Eumycetoma","Fusarium",0,16345,0
"297","Sudan","Fungus","Eumycetoma","Madurella",5472,16345,0.334781278678495
"298","Sudan","Fungus","Eumycetoma","Medicopsis",0,16345,0
"299","Sudan","Fungus","Eumycetoma","Microsporum",0,16345,0
"300","Sudan","Fungus","Eumycetoma","Neoscytalidium",0,16345,0
"301","Sudan","Fungus","Eumycetoma","Nigrograna",0,16345,0
"302","Sudan","Fungus","Eumycetoma","Penicillium",0,16345,0
"303","Sudan","Fungus","Eumycetoma","Phaeoacremonium",0,16345,0
"304","Sudan","Fungus","Eumycetoma","Sarocladium",0,16345,0
"305","Sudan","Fungus","Eumycetoma","Scedosporium",0,16345,0
"306","Sudan","Fungus","Eumycetoma","Trematosphaeria",0,16345,0
"307","Sudan","Fungus","Eumycetoma","Trichophyton",0,16345,0
"308","Sudan","Fungus","Eumycetoma","Xenoacremonium",0,16345,0
"309","Togo","Bacteria","Actinomycetoma","Actinomadura",8,33,0.242424242424242
"310","Togo","Bacteria","Actinomycetoma","Nocardia",1,33,0.0303030303030303
"311","Togo","Bacteria","Actinomycetoma","Streptomyces",0,33,0
"312","Togo","Fungus","Eumycetoma","Acremonium",0,33,0
"313","Togo","Fungus","Eumycetoma","Aspergillus",0,33,0
"314","Togo","Fungus","Eumycetoma","Cladophialophora",0,33,0
"315","Togo","Fungus","Eumycetoma","Cladosporium",0,33,0
"316","Togo","Fungus","Eumycetoma","Exophiala",0,33,0
"317","Togo","Fungus","Eumycetoma","Falcifomispora",3,33,0.0909090909090909
"318","Togo","Fungus","Eumycetoma","Fusarium",0,33,0
"319","Togo","Fungus","Eumycetoma","Madurella",21,33,0.636363636363636
"320","Togo","Fungus","Eumycetoma","Medicopsis",0,33,0
"321","Togo","Fungus","Eumycetoma","Microsporum",0,33,0
"322","Togo","Fungus","Eumycetoma","Neoscytalidium",0,33,0
"323","Togo","Fungus","Eumycetoma","Nigrograna",0,33,0
"324","Togo","Fungus","Eumycetoma","Penicillium",0,33,0
"325","Togo","Fungus","Eumycetoma","Phaeoacremonium",0,33,0
"326","Togo","Fungus","Eumycetoma","Sarocladium",0,33,0
"327","Togo","Fungus","Eumycetoma","Scedosporium",0,33,0
"328","Togo","Fungus","Eumycetoma","Trematosphaeria",0,33,0
"329","Togo","Fungus","Eumycetoma","Trichophyton",0,33,0
"330","Togo","Fungus","Eumycetoma","Xenoacremonium",0,33,0
"331","Tunisia","Bacteria","Actinomycetoma","Actinomadura",22,59,0.372881355932203
"332","Tunisia","Bacteria","Actinomycetoma","Nocardia",1,59,0.0169491525423729
"333","Tunisia","Bacteria","Actinomycetoma","Streptomyces",1,59,0.0169491525423729
"334","Tunisia","Fungus","Eumycetoma","Acremonium",0,59,0
"335","Tunisia","Fungus","Eumycetoma","Aspergillus",0,59,0
"336","Tunisia","Fungus","Eumycetoma","Cladophialophora",0,59,0
"337","Tunisia","Fungus","Eumycetoma","Cladosporium",0,59,0
"338","Tunisia","Fungus","Eumycetoma","Exophiala",0,59,0
"339","Tunisia","Fungus","Eumycetoma","Falcifomispora",0,59,0
"340","Tunisia","Fungus","Eumycetoma","Fusarium",0,59,0
"341","Tunisia","Fungus","Eumycetoma","Madurella",11,59,0.186440677966102
"342","Tunisia","Fungus","Eumycetoma","Medicopsis",0,59,0
"343","Tunisia","Fungus","Eumycetoma","Microsporum",0,59,0
"344","Tunisia","Fungus","Eumycetoma","Neoscytalidium",0,59,0
